"","Embryo10.12h","Embryo12.14h","Embryo14.16h","Female.1d","Female.5d","Female.30d"
"FBgn0031208",0.253602075986515,0.621202766993768,0.581103424631356,0.16056656842342,0.105029523848169,0.198621130359693
"FBgn0002121",5.25468473769119,6.64734761170722,6.02172844649406,4.49847427645205,5.81494001130628,5.53941940344972
"FBgn0051973",1.81238732351635,3.35877601663334,4.67017751357527,3.83601499754721,1.45300125090659,1.34051099761046
"FBgn0067779",3.66638166965776,4.66019275604665,3.77198062849815,2.83964522303744,4.17504548611091,4.06556369537677
"FBgn0031213",2.68674926558315,4.29481922067148,4.50358407627342,4.80114830673778,5.52394766859998,5.39219719318238
"FBgn0002931",2.65700425624275,2.62436530598389,1.65594710373983,1.31057279459715,0.788594678068942,0.901718410662743
"FBgn0031216",3.8295756043973,5.20834557449899,3.47230579845004,2.36351874015292,3.59037446595691,3.31260564083184
"FBgn0031217",5.01576515965488,4.74690928671214,4.71382226504071,5.0421802892586,5.54896983008632,5.47832471148503
"FBgn0026787",3.65599288396231,4.27494743077055,3.67465272692908,3.70704985138248,4.54012648833811,4.45204186494195
"FBgn0005278",7.67925488074983,7.99632659894111,7.35691848723248,7.73803819977708,7.96411556448862,7.92346417095609
"FBgn0031228",8.07959144864819,7.61176993578754,7.54229674814921,8.28730605941337,7.62785485297218,7.33353107311298
"FBgn0031229",5.61739840529181,5.60369755079908,4.27938214592565,4.5385381636298,5.71681260358321,5.62274297576037
"FBgn0031219",1.01911119579944,1.62474194997787,0.772775845836286,0.191466636277204,0.383578781184943,0.428290352112852
"FBgn0031220",4.55820027405602,5.44523671820175,3.74885834885379,3.02423278860318,3.02922846873731,3.40508426488937
"FBgn0025683",7.55230021221154,7.81800050874807,7.20200624796659,6.98128185405741,6.66696957247829,6.54523170253377
"FBgn0001142",7.82908209968557,7.50167002158584,7.90791214284053,6.91987634493112,7.15579982000919,7.17001516706472
"FBgn0051975",0.375346431995945,0.316288266570409,0.296311735540709,1.17815370535491,0.944422948489569,1.64217938113612
"FBgn0051974",1.12389128963833,1.6103268216244,1.41017826302682,4.8630216118281,4.4650014597163,4.79526303843622
"FBgn0031224",5.24231287087983,4.79976082108925,4.68787253588454,4.54462138981375,4.40608762884421,4.50166842946114
"FBgn0259818",1.34757495356508,1.4608473879589,1.5689757516993,1.00158609235403,1.0147409123877,1.04032435625159
"FBgn0031227",2.69211693172992,3.23099916622933,1.66561106903352,1.81894870007719,3.34947992992443,2.91841867563675
"FBgn0053635",3.07318955891211,3.48824505679776,2.18024017540742,1.98138507128443,3.61173895749895,3.64334827172151
"FBgn0016977",3.33575620792313,5.08859109666935,4.68360101996062,3.75899599905584,4.29011471613333,4.40812760067911
"FBgn0031231",6.37583356410716,5.91490411000937,6.07304470480587,5.71888764124466,6.08031229606909,6.2216915135109
"FBgn0031232",1.26712825032188,2.46241360189652,3.89592300192377,3.26083111150171,2.04353699137399,1.19867644345625
"FBgn0031233",3.57006212673373,3.80196567720059,3.48884916547239,3.58863669047191,4.54300706602608,4.55290574924755
"FBgn0086902",4.64986259282251,5.9418950691405,5.22856090595247,5.01491315812492,6.04034452321527,5.93495754595674
"FBgn0031235",0.0521822894172796,0.0686105566843002,0.075249609277706,0.0158139627665581,0.071656144782132,0.123582240944864
"FBgn0022246",4.3966458781407,4.15977448127277,3.18660514290529,3.59242115632346,4.00472609358901,4.14800670823596
"FBgn0031238",4.43371395316265,4.30540879628291,4.0524593691181,3.9385116364432,4.29600947831253,4.45139576498001
"FBgn0031239",1.3123689376431,2.37198812248622,2.78379188223148,0.80884630980083,0.415967377169274,0.614931236651797
"FBgn0031240",0.178907093894442,0.430944640009774,0.433683778902988,0.242991440053302,0.16269214337087,0.241655946049742
"FBgn0086912",5.45573489873236,5.25844731581353,4.51429272172396,4.75931032388934,5.78164560112302,5.77648830453688
"FBgn0086856",5.05624969311606,5.62486708631199,4.53442895467846,4.38940849207451,5.50990482124978,5.26982237207224
"FBgn0086855",4.86087839822598,4.76019432823127,3.70642003930195,4.2595060114592,5.60905459822148,5.62370301631804
"FBgn0003444",3.82544984130798,4.26372553163855,3.2592182436978,3.0284948939233,4.20445376767456,4.16711703022744
"FBgn0031244",4.50428986933724,4.50846034583577,4.48850858211242,4.44482606194236,4.59626132993687,4.75455617859325
"FBgn0031245",7.68481172599341,7.60496086950378,6.30913798000646,5.71168211447042,5.40953350130923,5.43479500355054
"FBgn0025686",3.02870351459556,3.48222874611038,3.47205879835683,1.77463316392223,1.63141165195381,0.989744303529864
"FBgn0031247",4.67339247205623,4.73712428189304,4.69675058421185,4.69509741623874,5.24802242446897,5.2498472978987
"FBgn0017457",6.75432634497104,6.23146504997565,6.15404036275539,5.24850068102224,6.06575324026149,6.1077485382188
"FBgn0024352",6.18330785376377,6.0865523831822,5.05688694793833,6.35135447654158,7.48112130653612,7.39392238668557
"FBgn0020622",3.63881527299359,3.76347531511084,3.05424939981503,4.52860257275754,5.41626214303645,5.45641191639816
"FBgn0004611",3.64122231119197,4.35817820946949,4.21487860310586,4.18068097407522,4.63044042006679,4.68093191635457
"FBgn0051920",0.0294661730089515,0.135861195817791,0.0636299491018851,0.284202581712017,0.09841120288496,0.142219976326719
"FBgn0031248",0.250038680991901,0.375290820781573,0.525487609109411,5.74908637273805,5.61414737784617,6.45151940343051
"FBgn0031249",0.767606495744566,0.829348689314323,2.44325389063004,8.22237954007322,7.80347245973652,8.42689789177425
"FBgn0053127",0.635131216724228,1.20576784014982,3.64944301508756,6.80326579025828,5.61498952318573,6.08135454181437
"FBgn0045202",0,0.175596135274135,0.193578740462202,0.234881411128487,0.0945109328140473,0.193510615614381
"FBgn0051921",0,0.106074094275704,0.142182065280981,0.134691464230188,0.0537393109484495,0.0968521710725567
"FBgn0031250",5.73045790946402,5.90113721250359,5.3777866255803,4.84812213506429,4.89209468437731,4.99829029539528
"FBgn0000061",4.38103413302244,4.75106196442869,4.49692885548089,0.796557055686695,0.204093127096403,0.213389589797835
"FBgn0031251",2.88397069582411,3.6915341649192,2.80433240348213,3.39842835914971,2.06486561086232,1.63579617427807
"FBgn0003278",4.08172309064488,4.49244928707564,3.3684931912714,3.81208743517108,4.17243150918078,4.05635808965337
"FBgn0015567",5.51937206215159,5.68324729644458,5.04322200009722,5.28868708123178,6.00703623989645,5.91659129114381
"FBgn0023444",5.01629573354505,5.28072994731394,5.06639492327799,4.96385786680749,5.92733708769875,5.85430989298964
"FBgn0031252",4.17000514894051,3.22158634796072,2.60298414715008,3.78686814839769,4.98910266698508,5.08736100035891
"FBgn0002593",12.1569994844761,11.8696863701533,12.0413511430638,11.7104061077602,11.6190277807242,11.6336310057147
"FBgn0031253",5.34378088484548,4.93508723923355,4.3436281185134,5.36838772347449,5.64532987118352,5.871890456503
"FBgn0031254",1.1955239869325,1.50534219487793,1.07321698527095,0.497267968088782,0.545521657378894,0.587297775625035
"FBgn0004583",4.33433228820455,4.98630170499412,4.11110645079874,2.7231303855579,2.60748892750022,2.59158846779903
"FBgn0015924",4.71864109554328,4.78785555679639,3.92518292588508,5.72555849080635,6.42500436246733,6.3504636545291
"FBgn0031256",6.54857071511881,6.30700038927928,5.69052325431357,4.91174430398357,5.55954993588022,5.70136052951637
"FBgn0262510",2.93997124500951,2.68648932174133,1.42383630021589,0.869136253605536,2.29271991811542,2.54132402038674
"FBgn0031257",5.10252796383203,5.02184390863752,5.06106763443208,1.73962347400884,0.793548845091193,0.963997098607473
"FBgn0031258",1.64541115382082,2.88361690653772,2.79731601575697,1.75039212114534,1.50024117918946,1.6995960497901
"FBgn0027592",5.13039552406463,5.14073367309329,4.79104303893252,4.03685495329737,4.71265630414105,4.71652454878048
"FBgn0043364",4.94416034978988,5.45809650814063,4.76354436429392,4.67627869338321,5.12880066397638,5.04213650342536
"FBgn0003963",4.40843334781671,4.74145619985585,4.39351230371601,2.9251145473916,3.23453657511014,3.18609799210343
"FBgn0010602",7.92465813291476,7.56561240692924,7.25264651173548,6.54333502509704,6.99178258468109,7.10724846661975
"FBgn0031260",8.25165755902491,7.93572492472744,7.96473939515682,6.62104817489686,6.84629271876723,6.81547296108733
"FBgn0031261",4.65535182861255,4.36681876562201,3.99911607855887,4.58161035458781,3.04273887985945,2.59283971182797
"FBgn0005660",1.65553043694209,1.83343256795184,2.96558113889853,1.036587730249,0.440032618677379,0.835278960494037
"FBgn0260933",2.49096540553785,2.42393577519567,1.96920023256127,0.826272276905948,0.508901190875358,0.690715661162159
"FBgn0031263",4.75272718627741,4.20672135743089,4.40423555781742,7.24659810305712,7.16215967325917,7.56459156920755
