"","Embryo0.2h","Embryo2.4h","Embryo4.6h","Embryo6.8h","Embryo8.10h","Female.1d","Female.5d","Female.30d"
"FBgn0031208",0.131988853423866,0.78154772378355,1.05137210172103,0.720439582723458,0.466050709901392,0.16056656842342,0.105029523848169,0.198621130359693
"FBgn0002121",6.00143296630962,6.66039529781665,7.00727400412909,6.48043316814096,6.31468746347305,4.49847427645205,5.81494001130628,5.53941940344972
"FBgn0051973",0.347546607790616,1.13703129173073,1.8123380310832,1.87102352318249,1.88682324832402,3.83601499754721,1.45300125090659,1.34051099761046
"FBgn0067779",4.42797484420019,4.15912861167602,4.34796323460543,3.91037769991103,4.05576831410842,2.83964522303744,4.17504548611091,4.06556369537677
"FBgn0031213",5.21096934823416,3.176126463389,1.88806325667921,1.49329378938853,2.21104646877047,4.80114830673778,5.52394766859998,5.39219719318238
"FBgn0002931",0.595721337309354,3.80854980299486,4.29349555944226,1.15800734143954,1.84760812801169,1.31057279459715,0.788594678068942,0.901718410662743
"FBgn0031216",3.67295706096987,4.4804784079739,5.14978775822923,4.61203396182289,4.82443182998912,2.36351874015292,3.59037446595691,3.31260564083184
"FBgn0031217",5.74720208254289,3.78701447377343,5.30817154036219,5.12987646083313,5.16885861608786,5.0421802892586,5.54896983008632,5.47832471148503
"FBgn0026787",4.60474742851958,2.99360734234521,3.6626270787822,3.83744880712636,3.70701671023196,3.70704985138248,4.54012648833811,4.45204186494195
"FBgn0005278",7.69814206226842,8.12194787651309,7.51699216632572,7.51186332201891,7.71467826127009,7.73803819977708,7.96411556448862,7.92346417095609
"FBgn0031228",7.07699725832199,7.11494998251968,7.84201084581467,7.39951292418296,7.50003717098169,8.28730605941337,7.62785485297218,7.33353107311298
"FBgn0031229",5.91884416018925,5.93348529969379,6.40730175960363,6.15112007424066,5.95891921491118,4.5385381636298,5.71681260358321,5.62274297576037
"FBgn0031219",0.0854604172416695,0.0934676892795994,0.286792454793007,0.506657792610788,0.578703033532773,0.191466636277204,0.383578781184943,0.428290352112852
"FBgn0031220",0.137617623300201,0.361468562064873,0.552952460326888,2.21113994268175,3.09010987840106,3.02423278860318,3.02922846873731,3.40508426488937
"FBgn0025683",4.03004468458572,2.27847845122079,2.69889187512071,5.32866774749028,6.46869734666116,6.98128185405741,6.66696957247829,6.54523170253377
"FBgn0001142",7.88627577506939,6.20989195623065,5.02766276310979,6.36302035037619,6.82813648419411,6.91987634493112,7.15579982000919,7.17001516706472
"FBgn0051975",0,0.163005297730412,0.502184949894531,0.618648379193051,0.375261902102914,1.17815370535491,0.944422948489569,1.64217938113612
"FBgn0051974",0.0176703940501337,0.395648535465045,1.50248845946228,2.02881665217376,1.53065010172696,4.8630216118281,4.4650014597163,4.79526303843622
"FBgn0031224",4.86193055830849,4.08274516114786,5.22916874202127,5.35593246246394,5.14601974900259,4.54462138981375,4.40608762884421,4.50166842946114
"FBgn0259818",0.413648236612026,1.52118142809296,2.06424825723857,1.95016976589757,1.59491634212895,1.00158609235403,1.0147409123877,1.04032435625159
"FBgn0031227",3.11539953174926,3.04177740945777,2.97548161735703,2.74494682737173,2.93291723394107,1.81894870007719,3.34947992992443,2.91841867563675
"FBgn0053635",3.75024203360482,3.32615476464042,3.66050654105685,3.07423824587469,3.23157986548173,1.98138507128443,3.61173895749895,3.64334827172151
"FBgn0016977",4.29759496249797,4.92840822583906,4.89535594576935,5.19786146072763,5.22680135485177,3.75899599905584,4.29011471613333,4.40812760067911
"FBgn0031231",6.64115004281568,5.34655982775468,4.24874733869645,4.1636838877332,4.89506506126145,5.71888764124466,6.08031229606909,6.2216915135109
"FBgn0031232",0.244855404707862,0.414400769603234,0.450205656523413,0.543315720892273,0.573663424347715,3.26083111150171,2.04353699137399,1.19867644345625
"FBgn0031233",5.1651361310943,4.74231347865638,3.59773376896754,3.51460202644204,3.90110824301451,3.58863669047191,4.54300706602608,4.55290574924755
"FBgn0086902",6.0328678425988,6.56891983107227,6.73103385841076,6.6334849761915,6.21561259451773,5.01491315812492,6.04034452321527,5.93495754595674
"FBgn0031235",0.022607431433028,0.049543088231248,0.118948246740291,0.144252640676829,0.153194411811999,0.0158139627665581,0.071656144782132,0.123582240944864
"FBgn0022246",3.29868030769935,3.62269612816767,4.07218299375034,4.45879538100657,4.35411359249238,3.59242115632346,4.00472609358901,4.14800670823596
"FBgn0031238",5.01449812699935,4.61698691547612,5.0970165737983,4.8076176747258,4.41952540831956,3.9385116364432,4.29600947831253,4.45139576498001
"FBgn0031239",0.0465919161040757,0.614101075042455,0.96598666326867,1.03522271435546,0.931492449894754,0.80884630980083,0.415967377169274,0.614931236651797
"FBgn0031240",0.036227604061588,0.351212194034145,0.724843200196457,0.610785090770933,0.517181946486037,0.242991440053302,0.16269214337087,0.241655946049742
"FBgn0086912",5.80481509018351,6.13307232414486,5.37194213646551,5.87751114263305,5.85670190197838,4.75931032388934,5.78164560112302,5.77648830453688
"FBgn0086856",5.77279357802952,5.81717042577394,5.49373698730886,5.35355619279487,5.58356722102107,4.38940849207451,5.50990482124978,5.26982237207224
"FBgn0086855",6.16831108584501,4.86590891949056,5.90753725893565,5.67304189161814,5.26744965326963,4.2595060114592,5.60905459822148,5.62370301631804
"FBgn0003444",4.71591532920912,5.74218950128347,5.41394943226886,4.56092278539969,4.57686070222419,3.0284948939233,4.20445376767456,4.16711703022744
"FBgn0031244",4.86849910795247,4.51521412803686,3.92889139952805,3.22714958515844,3.68592893865075,4.44482606194236,4.59626132993687,4.75455617859325
"FBgn0031245",3.75412855184494,5.28099341970781,6.73224206051329,7.26035504376393,7.66268261549702,5.71168211447042,5.40953350130923,5.43479500355054
"FBgn0025686",0.0720488463534252,0.555703286748909,0.371694901643258,1.44476246600485,2.58244039009802,1.77463316392223,1.63141165195381,0.989744303529864
"FBgn0031247",5.78834639727861,5.23512581163561,4.32061464468963,3.86251090312834,4.26536187875761,4.69509741623874,5.24802242446897,5.2498472978987
"FBgn0017457",7.0352609910969,7.8073549220576,7.50774707803973,7.14069686803137,6.95235686552006,5.24850068102224,6.06575324026149,6.1077485382188
"FBgn0024352",7.61375263707106,5.10453375875428,5.74721282621376,6.15037486005222,6.29004281483005,6.35135447654158,7.48112130653612,7.39392238668557
"FBgn0020622",5.48188982427143,2.44335999318749,3.04494660947367,3.22503734076439,3.3382332789043,4.52860257275754,5.41626214303645,5.45641191639816
"FBgn0004611",4.94239251621097,3.82252621903883,3.19611284270205,3.09750461306054,3.668516287811,4.18068097407522,4.63044042006679,4.68093191635457
"FBgn0051920",0.0189901753847536,0.020814655181413,0.0419673725431926,0.166856815727431,0.0750426819929817,0.284202581712017,0.09841120288496,0.142219976326719
"FBgn0031248",0,0,0.120515843508481,0.236308921376569,0.252472580900739,5.74908637273805,5.61414737784617,6.45151940343051
"FBgn0031249",0.19768425697899,0.180410145504372,0.109577198152156,0.312322463744577,0.530431370908599,8.22237954007322,7.80347245973652,8.42689789177425
